Title,URL
"Say ""Hello, World!"" With Python
EasyMax Score: 5Success Rate: 96.19%",https://www.hackerrank.com/challenges/py-hello-world?isFullScreen=true
"Arithmetic Operators
EasyPython (Basic)Max Score: 10Success Rate: 97.35%",https://www.hackerrank.com/challenges/python-arithmetic-operators?isFullScreen=true
"Python: Division
EasyPython (Basic)Max Score: 10Success Rate: 98.67%",https://www.hackerrank.com/challenges/python-division?isFullScreen=true
"Loops
EasyPython (Basic)Max Score: 10Success Rate: 98.07%",https://www.hackerrank.com/challenges/python-loops?isFullScreen=true
"Write a function
MediumPython (Basic)Max Score: 10Success Rate: 90.28%",https://www.hackerrank.com/challenges/write-a-function?isFullScreen=true
"Print Function
EasyPython (Basic)Max Score: 20Success Rate: 97.30%",https://www.hackerrank.com/challenges/python-print?isFullScreen=true
"List Comprehensions
EasyPython (Basic)Max Score: 10Success Rate: 97.64%",https://www.hackerrank.com/challenges/list-comprehensions?isFullScreen=true
"Find the Runner-Up Score!
EasyPython (Basic)Max Score: 10Success Rate: 94.21%",https://www.hackerrank.com/challenges/find-second-maximum-number-in-a-list?isFullScreen=true
"Nested Lists
EasyPython (Basic)Max Score: 10Success Rate: 91.79%",https://www.hackerrank.com/challenges/nested-list?isFullScreen=true
"Finding the percentage
EasyPython (Basic)Max Score: 10Success Rate: 97.27%",https://www.hackerrank.com/challenges/finding-the-percentage?isFullScreen=true
"Lists
EasyPython (Basic)Max Score: 10Success Rate: 90.24%",https://www.hackerrank.com/challenges/python-lists?isFullScreen=true
"Tuples
EasyPython (Basic)Max Score: 10Success Rate: 95.59%",https://www.hackerrank.com/challenges/python-tuples?isFullScreen=true
"sWAP cASE
EasyPython (Basic)Max Score: 10Success Rate: 98.31%",https://www.hackerrank.com/challenges/swap-case?isFullScreen=true
"String Split and Join
EasyPython (Basic)Max Score: 10Success Rate: 98.67%",https://www.hackerrank.com/challenges/python-string-split-and-join?isFullScreen=true
"What's Your Name?
EasyPython (Basic)Max Score: 10Success Rate: 97.19%",https://www.hackerrank.com/challenges/whats-your-name?isFullScreen=true
"Mutations
EasyPython (Basic)Max Score: 10Success Rate: 98.37%",https://www.hackerrank.com/challenges/python-mutations?isFullScreen=true
"Find a string
EasyPython (Basic)Max Score: 10Success Rate: 94.03%",https://www.hackerrank.com/challenges/find-a-string?isFullScreen=true
"String Validators
EasyPython (Basic)Max Score: 10Success Rate: 94.22%",https://www.hackerrank.com/challenges/string-validators?isFullScreen=true
"Text Alignment
EasyPython (Basic)Max Score: 10Success Rate: 96.71%",https://www.hackerrank.com/challenges/text-alignment?isFullScreen=true
"Text Wrap
EasyPython (Basic)Max Score: 10Success Rate: 98.71%",https://www.hackerrank.com/challenges/text-wrap?isFullScreen=true
"Designer Door Mat
EasyPython (Basic)Max Score: 10Success Rate: 98.12%",https://www.hackerrank.com/challenges/designer-door-mat?isFullScreen=true
"String Formatting
EasyPython (Basic)Max Score: 10Success Rate: 92.22%",https://www.hackerrank.com/challenges/python-string-formatting?isFullScreen=true
"Alphabet Rangoli
EasyPython (Basic)Max Score: 20Success Rate: 96.62%",https://www.hackerrank.com/challenges/alphabet-rangoli?isFullScreen=true
"Capitalize!
EasyPython (Basic)Max Score: 20Success Rate: 83.68%",https://www.hackerrank.com/challenges/capitalize?isFullScreen=true
"The Minion Game
MediumPython (Basic)Max Score: 40Success Rate: 86.95%",https://www.hackerrank.com/challenges/the-minion-game?isFullScreen=true
"Merge the Tools!
MediumProblem Solving (Basic)Max Score: 40Success Rate: 93.83%",https://www.hackerrank.com/challenges/merge-the-tools?isFullScreen=true
"itertools.product()
EasyPython (Basic)Max Score: 10Success Rate: 98.10%",https://www.hackerrank.com/challenges/itertools-product?isFullScreen=true
"collections.Counter()
EasyProblem Solving (Basic)Max Score: 10Success Rate: 97.16%",https://www.hackerrank.com/challenges/collections-counter?isFullScreen=true
"itertools.permutations()
EasyPython (Basic)Max Score: 10Success Rate: 97.82%",https://www.hackerrank.com/challenges/itertools-permutations?isFullScreen=true
"Polar Coordinates
EasyPython (Basic)Max Score: 10Success Rate: 96.58%",https://www.hackerrank.com/challenges/polar-coordinates?isFullScreen=true
"Introduction to Sets
EasyPython (Basic)Max Score: 10Success Rate: 98.42%",https://www.hackerrank.com/challenges/py-introduction-to-sets?isFullScreen=true
"DefaultDict Tutorial
EasyPython (Basic)Max Score: 20Success Rate: 92.82%",https://www.hackerrank.com/challenges/defaultdict-tutorial?isFullScreen=true
"Calendar Module
EasyPython (Basic)Max Score: 10Success Rate: 97.02%",https://www.hackerrank.com/challenges/calendar-module?isFullScreen=true
"Exceptions
EasyPython (Basic)Max Score: 10Success Rate: 96.04%",https://www.hackerrank.com/challenges/exceptions?isFullScreen=true
"Collections.namedtuple()
EasyPython (Basic)Max Score: 20Success Rate: 98.23%",https://www.hackerrank.com/challenges/py-collections-namedtuple?isFullScreen=true
"Time Delta
MediumPython (Basic)Max Score: 30Success Rate: 91.39%",https://www.hackerrank.com/challenges/python-time-delta?isFullScreen=true
"Find Angle MBC
MediumPython (Basic)Max Score: 10Success Rate: 89.35%",https://www.hackerrank.com/challenges/find-angle?isFullScreen=true
"No Idea!
MediumPython (Basic)Max Score: 50Success Rate: 88.58%",https://www.hackerrank.com/challenges/no-idea?isFullScreen=true
"Collections.OrderedDict()
EasyPython (Basic)Max Score: 20Success Rate: 98.27%",https://www.hackerrank.com/challenges/py-collections-ordereddict?isFullScreen=true
"Symmetric Difference
EasyPython (Basic)Max Score: 10Success Rate: 97.99%",https://www.hackerrank.com/challenges/symmetric-difference?isFullScreen=true
"itertools.combinations()
EasyPython (Basic)Max Score: 10Success Rate: 96.95%",https://www.hackerrank.com/challenges/itertools-combinations?isFullScreen=true
"Incorrect Regex
EasyPython (Basic)Max Score: 20Success Rate: 94.45%",https://www.hackerrank.com/challenges/incorrect-regex?isFullScreen=true
"Set .add()
EasyPython (Basic)Max Score: 10Success Rate: 98.92%",https://www.hackerrank.com/challenges/py-set-add?isFullScreen=true
"itertools.combinations_with_replacement()
EasyPython (Basic)Max Score: 10Success Rate: 98.31%",https://www.hackerrank.com/challenges/itertools-combinations-with-replacement?isFullScreen=true
"Word Order
MediumPython (Basic)Max Score: 50Success Rate: 90.68%",https://www.hackerrank.com/challenges/word-order?isFullScreen=true
"Set .discard(), .remove() & .pop()
EasyPython (Basic)Max Score: 10Success Rate: 93.49%",https://www.hackerrank.com/challenges/py-set-discard-remove-pop?isFullScreen=true
"Collections.deque()
EasyPython (Basic)Max Score: 20Success Rate: 97.99%",https://www.hackerrank.com/challenges/py-collections-deque?isFullScreen=true
"Compress the String!
MediumPython (Basic)Max Score: 20Success Rate: 97.12%",https://www.hackerrank.com/challenges/compress-the-string?isFullScreen=true
"Company Logo
MediumProblem Solving (Basic)Max Score: 30Success Rate: 89.99%",https://www.hackerrank.com/challenges/most-commons?isFullScreen=true
"Set .union() Operation
EasyPython (Basic)Max Score: 10Success Rate: 99.07%",https://www.hackerrank.com/challenges/py-set-union?isFullScreen=true
"Piling Up!
MediumPython (Basic)Max Score: 50Success Rate: 90.87%",https://www.hackerrank.com/challenges/piling-up?isFullScreen=true
"Triangle Quest 2
MediumPython (Basic)Max Score: 20Success Rate: 95.14%",https://www.hackerrank.com/challenges/triangle-quest-2?isFullScreen=true
"Iterables and Iterators
MediumPython (Basic)Max Score: 40Success Rate: 96.52%",https://www.hackerrank.com/challenges/iterables-and-iterators?isFullScreen=true
